,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
16,0.0953,https://api.spotify.com/v1/audio-analysis/551Fi7hZhKoG1VQCWOfiLP,0.759,169500,0.968,551Fi7hZhKoG1VQCWOfiLP,0.00256,11,0.613,-2.868,0,0.293,159.717,4,https://api.spotify.com/v1/tracks/551Fi7hZhKoG1VQCWOfiLP,audio_features,spotify:track:551Fi7hZhKoG1VQCWOfiLP,0.783
17,0.0215,https://api.spotify.com/v1/audio-analysis/7lykMLNQ38qMuZs0uDQ79E,0.721,157674,0.949,7lykMLNQ38qMuZs0uDQ79E,0.671,9,0.533,-2.409,1,0.224,172.006,4,https://api.spotify.com/v1/tracks/7lykMLNQ38qMuZs0uDQ79E,audio_features,spotify:track:7lykMLNQ38qMuZs0uDQ79E,0.687
18,0.0951,https://api.spotify.com/v1/audio-analysis/1efjxzxVK15uTCjkBe6SqD,0.737,200930,0.993,1efjxzxVK15uTCjkBe6SqD,0.0795,9,0.0859,-4.154,1,0.195,171.978,4,https://api.spotify.com/v1/tracks/1efjxzxVK15uTCjkBe6SqD,audio_features,spotify:track:1efjxzxVK15uTCjkBe6SqD,0.525
19,0.151,https://api.spotify.com/v1/audio-analysis/61eRbW77tBH1SjQrGkZvdt,0.79,321440,0.734,61eRbW77tBH1SjQrGkZvdt,0.00078,0,0.057,-4.211,1,0.184,94.488,4,https://api.spotify.com/v1/tracks/61eRbW77tBH1SjQrGkZvdt,audio_features,spotify:track:61eRbW77tBH1SjQrGkZvdt,0.804
0,0.613,https://api.spotify.com/v1/audio-analysis/5N7dYVrRW4FVvNpcAISp4f,0.587,206253,0.704,5N7dYVrRW4FVvNpcAISp4f,0.0181,0,0.1,-4.19,1,0.143,96.14,4,https://api.spotify.com/v1/tracks/5N7dYVrRW4FVvNpcAISp4f,audio_features,spotify:track:5N7dYVrRW4FVvNpcAISp4f,0.899
1,0.894,https://api.spotify.com/v1/audio-analysis/3pxxqqOVSK5dfGT7R2FDvd,0.679,317227,0.567,3pxxqqOVSK5dfGT7R2FDvd,1.44e-05,5,0.113,-4.758,1,0.0366,125.212,3,https://api.spotify.com/v1/tracks/3pxxqqOVSK5dfGT7R2FDvd,audio_features,spotify:track:3pxxqqOVSK5dfGT7R2FDvd,0.533
2,0.67,https://api.spotify.com/v1/audio-analysis/1r8iML6ls8xP0WZ9megjNy,0.576,134209,0.822,1r8iML6ls8xP0WZ9megjNy,0.00051,7,0.091,-5.229,1,0.0357,167.613,3,https://api.spotify.com/v1/tracks/1r8iML6ls8xP0WZ9megjNy,audio_features,spotify:track:1r8iML6ls8xP0WZ9megjNy,0.925
3,0.52,https://api.spotify.com/v1/audio-analysis/3sqycFb9GlmaqZ9GOPU0N1,0.808,253098,0.645,3sqycFb9GlmaqZ9GOPU0N1,0.0,0,0.0981,-7.865,1,0.115,96.008,4,https://api.spotify.com/v1/tracks/3sqycFb9GlmaqZ9GOPU0N1,audio_features,spotify:track:3sqycFb9GlmaqZ9GOPU0N1,0.663
4,0.374,https://api.spotify.com/v1/audio-analysis/3H9dznnyOysSYQe9hfYMu6,0.615,245520,0.587,3H9dznnyOysSYQe9hfYMu6,0.0697,0,0.0578,-5.116,1,0.292,126.281,4,https://api.spotify.com/v1/tracks/3H9dznnyOysSYQe9hfYMu6,audio_features,spotify:track:3H9dznnyOysSYQe9hfYMu6,0.735
5,0.348,https://api.spotify.com/v1/audio-analysis/49NEssirR3XqwkliZGoQNi,0.808,220946,0.703,49NEssirR3XqwkliZGoQNi,0.00316,4,0.218,-6.79,0,0.0864,103.022,4,https://api.spotify.com/v1/tracks/49NEssirR3XqwkliZGoQNi,audio_features,spotify:track:49NEssirR3XqwkliZGoQNi,0.877
6,0.191,https://api.spotify.com/v1/audio-analysis/2EtG5AwvHxgYhqCMicPo5X,0.468,186757,0.744,2EtG5AwvHxgYhqCMicPo5X,5.54e-05,7,0.324,-7.888,0,0.209,117.071,4,https://api.spotify.com/v1/tracks/2EtG5AwvHxgYhqCMicPo5X,audio_features,spotify:track:2EtG5AwvHxgYhqCMicPo5X,0.61
7,0.374,https://api.spotify.com/v1/audio-analysis/6TU6w8RV0lIgivC2LSW4Ak,0.568,297147,0.835,6TU6w8RV0lIgivC2LSW4Ak,0.00148,2,0.0816,-4.516,0,0.184,167.363,4,https://api.spotify.com/v1/tracks/6TU6w8RV0lIgivC2LSW4Ak,audio_features,spotify:track:6TU6w8RV0lIgivC2LSW4Ak,0.706
8,0.703,https://api.spotify.com/v1/audio-analysis/3HeuRoX7rDS2rhnZOeF4V9,0.561,263293,0.738,3HeuRoX7rDS2rhnZOeF4V9,0.811,2,0.0668,-4.127,0,0.123,162.637,3,https://api.spotify.com/v1/tracks/3HeuRoX7rDS2rhnZOeF4V9,audio_features,spotify:track:3HeuRoX7rDS2rhnZOeF4V9,0.964
